Марка	Номенклатура	Количество
136407922976260420001HFNTT2XBSQPL5YCML2GZZK35IYMBJ42VI5S4JXW2VYUULNCZEHZRILOAP7D7I2C5MCPYWOCLJXHYJU5UD43U6JOGYIH22MLTQ7M5IPRLY6LCCCY6XN62CRP734GQPQAMI	Водка "Солнечная деревенька на солодовом спирте "Альфа"	1
101401496666400819001RUUG6KCC7EG7LWTJQ5LBJHLNE4NY3TLOPY6XR533KOVQZG6RNYZCXOU4WZ2V3HIX7SS7LZCA3N3E6MKCEXIK245HBT5L4QQZURBKCKW4IK4AI576HFA2CIB7JDOHQGZTQ	Напиток слабоалкогольный газированный "Аперитини Спритц Апельсин (Aperitini Spritz Orange)"	1
1873011397437512200014CD7UDFGTDAW4RJL4MT53OOWEQMHHS25KVMMNP53DF2AZFDD3DI6LJYFT5FEARAB2BAYIQ4QA76YBW53PQ7ARQH7SDJ2EVJIHRV3A2PO437GHIFNQUY6Z3MLE4A7Q2VRY	Водка особая "ЛАДОГА ХЛЕБНАЯ"	1
134200000209231018001NQKHM5IF7ABX6L2I26JJDRSYZUTTC4EQJOU4WLLW57AKJVI752QFINZ6QKU3MJDCZEDYA3QZWHBB2Q5YCH4MGGH2ABMQ7ZS44PZBWHA23UUPCOO6XX2EGXK5PFGPM6UWI	Водка "ГРАФ ЛЕДОФФ (GRAF LEDOFF)"	1
1342000002091210180014Y5RKBGQ5AWPALVGA7IOUEIIRM6PZXBQVYFEF6ZJMUNYIDNKJ2XTPPUNNVEU76X5OMZOECD7R3MCAI2V5M25AIT5TUSQZFSLO3CEDXIQV2ZRWTLT4TC3A3RMMDB2MUYAA	Водка "ГРАФ ЛЕДОФФ (GRAF LEDOFF)"	1
1873068501595310210014X2CQCSV43SEPPJ2G4RNPQHQ5I4APAEYMBZJ4WAUASBTCR4AJL7RX3RMFFQT5BZGZJRT6DUOQHVWDCDD6DR4OMQECNCJ2PJ4AALZ7SBGA67FXJHLRX43YBIJNKMGLVU7I	Водка особая "TUNDRA СЕВЕРНАЯ БРУСНИКА. ВОДКА КРАЙНЕГО СЕВЕРА"	1
134402969584990619001JGXQGY6DOT47GSHTQRZVJYMRRQDLYMSH6ITI2G56Z25VAJ6YS46VND3T52ZG6Z7OGTBHB3POSPURVJGQ3R3I2AKB7KOVSX4LBQEGJ7JS2ZJ54Q33VG6YM5NIVNUVBGNWA	Водка "КУБАНЬ ЖИТНИЦА ХЛЕБНАЯ"	1
189400012802131120001CNOXXU7RULHTCL3XFVE6YBUVBE5VZQM2UCPVAZVKLDRCXE4QHG2TWBGK2VAUYNTDUGIRTD437QC7WDJSQ6JYPZCRYHTD4I73FREKMBLV6GOCLD4DQH3BX7ZPRTBM5MUIY	Водка "ГРАФ ЛЕДОФФ (GRAF LEDOFF)"	1
187304008248500521001KGDFTJQN43TLOC5W6COFNMCQL4TV4YLCOLBM2AI3PZ7DI4HMTLRNUFFXYMGAPMQUMDUNYID6F3YDKPHU3J2BQN7IPLA2W2J7YTF26GWIO2GP2ZABOFBDZHYYZYQKILGTY	Водка «ФИНСКИЙ СТАНДАРТ ОРИГИНАЛЬНАЯ»	1
187305657855920621001EW77VJK4WX6LKPIR5CF3EHHRBIHNAIGF2S7XLF6JANG27CSNBMXOSESVGG567OJWB7XGT6DI7PH434YBOXYQT54K3ZKHQRFXKUR2LMVUSG7IIHM5U7LJVX2XAS3OATTYI	Водка "ТЕЛЬНЯШКА"	1
